Place Name,Room Type,Accommodates,Price,Rating,Num_Reviews,First Review,Last Review,Availability,Instant Book,Neighborhood ID,District,Neighborhood,Host ID,Host Name,Email,Date Joined,Host Location,Response Time,Response Rate,Acceptance Rate,Superhost,Listing Age (days),Days Since Last Review,Host Tenure (years)
Large Furnished Room Near B'wayã€€,Private room,2,65.0,4.38,473,2009-05-06,2020-03-15,340,False,17,Manhattan,Hell's Kitchen,8,Nicole S. Tapia,nstapia44@hotmail.com,2009-03-03,"New York, New York, United States",Within a few hours,100.0,100.0,False,3983,17,11.1
Wonderful Guest Bedroom in Manhattan CENTRAL PARK,Private room,1,85.0,4.67,123,2009-05-10,2019-12-09,365,False,20,Manhattan,Upper West Side,10,Bruce I. Benson,brucebenson38@outlook.com,2009-03-27,"New York, New York, United States",Within a day,100.0,83.0,False,3979,114,11.0
UES Beautiful Blue Room / 2 Bedrooms,Entire place,2,239.0,4.99,233,2009-10-28,2019-12-09,365,True,14,Manhattan,East Harlem,14,Charles I. Salah,charlesisalah88@hotmail.com,2009-05-12,"New York, New York, United States",Within an hour,100.0,93.0,True,3808,114,10.9
"MAISON DES SIRENES1,bohemian apartment",Entire place,5,120.0,4.75,115,2009-08-25,2020-08-13,319,False,7,Brooklyn,Bedford-Stuyvesant,24,Josephine G. Butler,josephineb@hotmail.com,2009-07-10,"New York, New York, United States",Within an hour,100.0,99.0,False,3872,-134,10.7
ENJOY Downtown NYC!,Private room,2,40.0,4.77,262,2009-10-27,2020-03-17,46,False,15,Manhattan,East Village,37,Laura F. Salah,laurafsalah70@hotmail.com,2009-10-19,"New York, New York, United States",Within a day,60.0,73.0,False,3809,15,10.5
"1 Stop fr. Manhattan! Private Suite,Landmark Block",Private room,4,130.0,4.99,280,2010-06-13,2020-03-15,246,False,24,Queens,Long Island City,38,Cindy J. Wang,cjwang70@gmail.com,2009-10-31,"New York, New York, United States",Within a day,100.0,91.0,True,3580,17,10.4
Charming Brownstone 3 - Near PRATT,Entire place,2,100.0,4.5,66,2009-12-06,2020-03-02,19,False,7,Brooklyn,Bedford-Stuyvesant,39,Lucille C. Christensen,lucillechristensen53@hotmail.com,2009-10-31,"Berkeley, California, United States",Within a few hours,100.0,97.0,False,3769,30,10.4
(E) RIGHT ON BUDGET,Private room,4,75.0,4.23,65,2010-08-21,2018-05-28,365,False,23,Queens,Jamaica,26,Virginia G. Castillo,virginiacastillo@gmail.com,2009-07-27,"New York, New York, United States",Within a few hours,83.0,88.0,False,3511,674,10.7
Beautiful Attic bedroom Chelsea!,Private room,1,150.0,4.99,69,2010-10-12,2014-01-06,365,False,13,Manhattan,Chelsea,40,Amanda J. Gould,amandag25@yahoo.com,2009-11-12,"Brooklyn, New York, United States",Within a day,73.0,93.0,False,3459,2277,10.4
Blue Room for 2 in Brownstone for $1350 monthly,Private room,2,81.0,4.74,141,2010-06-06,2020-07-12,339,False,7,Brooklyn,Bedford-Stuyvesant,42,Blake Z. Munoz,blakem@gmail.com,2009-11-14,"New York, New York, United States",Within an hour,100.0,97.0,False,3587,-102,10.4
Greenpoint Place...Has It All!,Entire place,4,150.43,4.98,180,2018-05-21,2020-03-14,0,False,11,Brooklyn,Greenpoint,44,Margaret R. Das,margaretrdas56@outlook.com,2009-11-21,"New York, New York, United States",Within a few hours,75.0,97.0,True,681,18,10.4
Williamsburg 1 bedroom Apartment,Entire place,2,175.0,4.91,113,2009-12-18,2020-01-24,165,False,12,Brooklyn,Williamsburg,45,Randall B. Mercer,randallm@gmail.com,2009-11-22,"New York, New York, United States",Within an hour,100.0,100.0,False,3757,68,10.4
Best Location in NYC! TIMES SQUARE!,Private room,1,69.0,4.74,325,2010-01-02,2020-07-19,341,False,17,Manhattan,Hell's Kitchen,49,Kyle P. Mcintyre,kylepmcintyre61@outlook.com,2009-12-03,"New York, New York, United States",Within a few hours,100.0,93.0,False,3742,-109,10.3
Sunny & Spacious Chelsea Apartment,Entire place,4,375.0,5.0,5,2016-03-23,2018-11-03,157,False,13,Manhattan,Chelsea,50,Angela S. Yuan,angelasyuan@gmail.com,2009-12-05,"New York, New York, United States",Within a day,100.0,19.0,False,1470,515,10.3
"Sunny, Modern room in East Village!",Private room,2,72.0,4.89,406,2013-08-22,2020-07-21,155,False,15,Manhattan,East Village,54,Robin K. Smith,robinsmith@outlook.com,2009-12-19,"New York, New York, United States",Within a day,50.0,98.0,True,2414,-111,10.3
Large Room in Amazing East Village Apt,Private room,1,57.0,4.81,118,2012-08-14,2020-07-25,358,False,15,Manhattan,East Village,4,Rachel D. Watkins,rachelwatkins@yahoo.com,2008-11-19,"New York, New York, United States",Within a few hours,100.0,57.0,False,2787,-115,11.4
SpaHa Loft: Enormous and Bright,Entire place,8,325.0,4.83,212,2010-01-02,2020-03-07,240,False,14,Manhattan,East Harlem,57,Jennifer J. Glenn,jjglenn@hotmail.com,2009-12-26,"New York, New York, United States",Within a day,100.0,100.0,True,3742,25,10.3
Beautiful Meatpacking District Loft!,Private room,3,150.0,4.99,184,2011-03-14,2020-03-09,329,True,13,Manhattan,Chelsea,64,Justin F. Valle,justinfvalle10@hotmail.com,2010-01-20,"New York, New York, United States",Within a day,100.0,93.0,True,3306,23,10.2
Cozy 2 BR in Williamsburg,Private room,4,145.0,4.63,63,2010-03-31,2019-08-04,365,True,12,Brooklyn,Williamsburg,65,Marjorie F. Ismail,marjoriefismail@yahoo.com,2010-01-20,"New York, New York, United States",A few days or more,0.0,100.0,False,3654,241,10.2
Spacious luminous apt Upper West NYC,Entire place,3,110.0,4.74,57,2010-06-24,2020-07-31,348,False,16,Manhattan,Harlem,66,Margaret M. Smith,margaretsmith43@outlook.com,2010-01-24,"New York, New York, United States",Within a few hours,100.0,100.0,True,3569,-121,10.2
Cozy Bedroom in Williamsburg 3 BR,Private room,2,85.0,4.81,193,2010-03-21,2019-12-18,365,True,12,Brooklyn,Williamsburg,65,Marjorie F. Ismail,marjoriefismail@yahoo.com,2010-01-20,"New York, New York, United States",A few days or more,0.0,100.0,False,3664,105,10.2
