order_id,order_number,created_at,customer_id,customer_email,financial_status,fulfillment_status,currency,subtotal,discount_code,discount_amount,shipping,taxes,total,payment_method,billing_city,billing_province,billing_country,source,note
NB-5134,5134,2025-12-01 06:36:33,CUST-1066,liam.green@gmail.com,paid,fulfilled,USD,39.98,,0.0,5.99,2.98,48.95,PayPal,Austin,Texas,US,Organic Search,
NB-5077,5077,2025-12-01 08:18:52,CUST-1133,alex.desai@outlook.com,paid,fulfilled,USD,119.94,COFFEE15,17.99,0,9.77,111.72,Credit Card,Bristol,England,GB,Organic Search,
NB-5219,5219,2025-12-01 09:33:06,CUST-1024,manish.williams@protonmail.com,paid,fulfilled,USD,60.41,LOYALTY5,3.02,0,4.95,62.34,Shop Pay,Seattle,Washington,US,Google Ads,
NB-5104,5104,2025-12-01 11:32:54,CUST-1019,noah_bajaj@icloud.com,paid,fulfilled,USD,69.98,,0.0,0,4.34,74.32,PayPal,Miami,Florida,US,TikTok Ads,
NB-5061,5061,2025-12-01 12:18:36,CUST-1166,derekbhatt@yahoo.com,paid,fulfilled,USD,562.2,,0.0,0,48.03,610.23,Shop Pay,Chicago,Illinois,US,Instagram Ads,
NB-5169,5169,2025-12-01 14:58:35,CUST-1116,jake_patel@outlook.com,paid,fulfilled,USD,107.47,,0.0,0,6.84,114.31,PayPal,Bangalore,Karnataka,IN,Organic Search,
NB-5007,5007,2025-12-01 16:50:18,CUST-1064,aditi_young@gmail.com,paid,fulfilled,USD,138.93,,0.0,0,10.99,149.92,Credit Card,Las Vegas,Nevada,US,Email Campaign,
NB-5411,5411,2025-12-01 19:44:34,CUST-1194,peter.campbell@icloud.com,paid,fulfilled,USD,172.92,,0,0,11.3,184.22,Credit Card,San Jose,California,US,Organic Search,
NB-5138,5138,2025-12-01 22:18:12,CUST-1162,layla_nair@hotmail.com,paid,fulfilled,USD,26.75,LOYALTY5,1.34,0,2.21,27.62,Credit Card,Los Angeles,California,US,Instagram Ads,
NB-5190,5190,2025-12-02 07:42:36,CUST-1129,alex_anderson@protonmail.com,paid,fulfilled,USD,177.46,,0.0,0,16.1,193.56,Credit Card,Denver,Colorado,US,Referral,
NB-5092,5092,2025-12-02 08:30:56,CUST-1171,mitali_bose@icloud.com,paid,fulfilled,USD,49.98,WELCOME10,5.0,0,4.27,49.25,Credit Card,Houston,Texas,US,Instagram Ads,
NB-5072,5072,2025-12-02 10:37:45,CUST-1118,nisha_thompson@icloud.com,paid,delivered,USD,158.39,NEWBREW20,31.68,0,11.12,137.83,Google Pay,Chicago,Illinois,US,Facebook Ads,
NB-5443,5443,2025-12-02 18:11:52,CUST-1087,meera.white@icloud.com,paid,fulfilled,USD,189.94,,0,0,16.31,206.25,Credit Card,Bristol,England,GB,Referral,
NB-5178,5178,2025-12-02 22:19:21,CUST-1006,ravi_adams@protonmail.com,paid,fulfilled,USD,33.39,NEWBREW20,6.68,0,2.47,29.18,Google Pay,Delhi,Delhi,IN,Referral,
NB-5085,5085,2025-12-02 22:25:08,CUST-1055,shane_berg@hotmail.com,paid,fulfilled,USD,174.94,COFFEE15,26.24,0,11.93,160.63,Apple Pay,Phoenix,Arizona,US,Email Campaign,
NB-5156,5156,2025-12-03 06:31:13,CUST-1081,garima_kulkarni@hotmail.com,paid,fulfilled,USD,179.36,,0.0,0,11.16,190.52,Credit Card,Tokyo,Tokyo,JP,Instagram Ads,
NB-5162,5162,2025-12-03 10:28:18,CUST-1056,henryiyer@icloud.com,paid,shipped,USD,291.79,,0.0,0,25.19,316.98,Google Pay,Atlanta,Georgia,US,Instagram Ads,
NB-5208,5208,2025-12-03 10:56:37,CUST-1022,nupur.shah@gmail.com,paid,fulfilled,USD,192.89,WELCOME10,19.29,0,15.4,189.0,Shop Pay,Sydney,New South Wales,AU,Organic Search,
NB-5215,5215,2025-12-03 14:16:08,CUST-1183,hannah.miller@yahoo.com,paid,fulfilled,USD,117.79,,0.0,0,8.3,126.09,PayPal,Washington,District of Columbia,US,Referral,
NB-5241,5241,2025-12-03 18:57:11,CUST-1167,nupur_khanna@gmail.com,paid,fulfilled,USD,68.96,NEWBREW20,13.79,0,5.41,60.58,Credit Card,Atlanta,Georgia,US,Email Campaign,
NB-5187,5187,2025-12-03 20:40:23,CUST-1043,komalwalker@protonmail.com,paid,fulfilled,USD,12.99,WELCOME10,1.3,0,1.06,12.75,PayPal,Birmingham,England,GB,Organic Search,
