customer_id,first_name,last_name,email,city,province,country,acquisition_channel,signup_date,accepts_marketing,total_orders,total_spent_usd
CUST-1001,Tanya,Davis,tanya.davis@protonmail.com,Brooklyn,New York,US,Organic Search,2025-09-27,yes,4,879.98
CUST-1002,Jordan,Allen,jordan.allen@gmail.com,Brooklyn,New York,US,Google Ads,2025-09-07,no,2,230.55
CUST-1003,Henry,Wright,henrywright@outlook.com,London,England,GB,Email Campaign,2025-10-11,no,2,237.94
CUST-1004,Sakshi,Martinez,sakshi.martinez@yahoo.com,Sydney,New South Wales,AU,Organic Search,2025-12-07,yes,2,70.21
CUST-1005,Madison,Al-Rashid,madisonal-rashid@outlook.com,Leeds,England,GB,Google Ads,2025-10-02,no,10,1413.74
CUST-1006,Ravi,Adams,ravi_adams@protonmail.com,Delhi,Delhi,IN,Referral,2025-09-18,yes,9,1797.35
CUST-1007,Oscar,Smith,oscar.smith@gmail.com,Portland,Oregon,US,Referral,2025-12-03,yes,3,457.2
CUST-1008,Olivia,Bose,olivia_bose@protonmail.com,Amsterdam,North Holland,NL,Organic Search,2026-02-10,yes,0,0.0
CUST-1009,Travis,White,travis.white@hotmail.com,Phoenix,Arizona,US,Email Campaign,2025-10-27,yes,6,857.07
CUST-1010,David,Verma,david.verma@outlook.com,San Diego,California,US,Organic Search,2026-01-24,yes,3,738.06
CUST-1011,Lucas,Sethi,lucas_sethi@hotmail.com,Amsterdam,North Holland,NL,Google Ads,2025-11-07,yes,5,790.69
CUST-1012,Sunita,Allen,sunitaallen@hotmail.com,Sacramento,California,US,Google Ads,2025-09-24,yes,10,1625.7
CUST-1013,Ava,Thakur,ava.thakur@protonmail.com,San Diego,California,US,Instagram Ads,2026-01-31,yes,3,909.54
CUST-1014,Garima,Patel,garimapatel@protonmail.com,Atlanta,Georgia,US,Email Campaign,2026-02-12,yes,1,144.72
CUST-1015,Kiran,Clark,kiran_clark@yahoo.com,Detroit,Michigan,US,TikTok Ads,2025-11-07,yes,2,422.81
CUST-1016,Layla,Brown,laylabrown@outlook.com,Vancouver,British Columbia,CA,Organic Search,2025-10-12,yes,6,533.88
CUST-1017,Morgan,Yamamoto,morgan_yamamoto@gmail.com,Houston,Texas,US,TikTok Ads,2025-11-18,yes,5,583.5
CUST-1018,David,Thompson,davidthompson@gmail.com,Denver,Colorado,US,Direct,2026-01-15,yes,3,373.02
CUST-1019,Noah,Bajaj,noah_bajaj@icloud.com,Miami,Florida,US,TikTok Ads,2025-12-18,yes,5,642.34
CUST-1020,Brett,Menon,brett.menon@protonmail.com,Las Vegas,Nevada,US,Referral,2025-12-22,no,5,957.96
CUST-1021,Oliver,White,oliver.white@gmail.com,Boston,Massachusetts,US,Referral,2026-01-29,yes,5,1314.01
CUST-1022,Nupur,Shah,nupur.shah@gmail.com,Sydney,New South Wales,AU,Organic Search,2025-10-31,yes,1,189.0
CUST-1023,Megan,Pandey,megan.pandey@icloud.com,Boston,Massachusetts,US,Referral,2025-11-02,no,7,1349.03
CUST-1024,Manish,Williams,manish.williams@protonmail.com,Seattle,Washington,US,Google Ads,2025-09-14,yes,7,668.19
CUST-1025,Jessica,Jackson,jessicajackson@outlook.com,London,England,GB,Instagram Ads,2025-10-19,yes,4,896.99
CUST-1026,Ajay,Rao,ajay_rao@hotmail.com,San Diego,California,US,Google Ads,2026-01-19,yes,5,1265.89
CUST-1027,Pooja,Thompson,pooja.thompson@hotmail.com,New York,New York,US,TikTok Ads,2025-09-16,yes,7,1559.04
CUST-1028,Samantha,Sharma,samantha_sharma@outlook.com,Berlin,Berlin,DE,Instagram Ads,2026-01-21,no,2,387.81
CUST-1029,Ava,Malhotra,ava_malhotra@yahoo.com,Tokyo,Tokyo,JP,Email Campaign,2025-09-16,yes,3,566.32
CUST-1030,David,Mehta,davidmehta@hotmail.com,Charlotte,North Carolina,US,Google Ads,2025-09-15,yes,6,694.23
CUST-1031,Swati,Reddy,swatireddy@gmail.com,Hyderabad,Telangana,IN,Google Ads,2026-01-24,yes,5,1197.44
CUST-1032,Cameron,Smith,cameron_smith@protonmail.com,Kolkata,West Bengal,IN,Instagram Ads,2025-11-06,yes,5,1281.73
CUST-1033,Lakshmi,Martin,lakshmi_martin@yahoo.com,Chennai,Tamil Nadu,IN,Google Ads,2025-09-19,yes,8,691.43
CUST-1034,Chris,Deshpande,chris.deshpande@icloud.com,Houston,Texas,US,TikTok Ads,2025-11-02,yes,6,850.12
CUST-1035,Thomas,Chopra,thomas_chopra@icloud.com,Ahmedabad,Gujarat,IN,Facebook Ads,2026-02-15,yes,1,121.46
CUST-1036,Jake,Adams,jake_adams@protonmail.com,Sacramento,California,US,Instagram Ads,2025-09-28,yes,5,1078.01
CUST-1037,Aditi,Robinson,aditirobinson@yahoo.com,Hyderabad,Telangana,IN,Email Campaign,2025-11-07,no,5,867.52
CUST-1038,Gaurav,Mehta,gaurav.mehta@protonmail.com,Manhattan,New York,US,Organic Search,2025-11-25,yes,1,71.02
CUST-1039,Tanya,Martin,tanya.martin@protonmail.com,Minneapolis,Minnesota,US,Google Ads,2025-09-03,yes,1,60.44
CUST-1040,Kelly,Gupta,kelly_gupta@icloud.com,Noida,Uttar Pradesh,IN,Organic Search,2025-11-18,yes,5,313.85
CUST-1041,James,Ibrahim,james.ibrahim@protonmail.com,San Jose,California,US,Instagram Ads,2026-01-22,no,3,702.48
CUST-1042,Cameron,Anderson,cameron.anderson@yahoo.com,Dubai,Dubai,AE,TikTok Ads,2025-09-07,yes,6,1056.29
CUST-1043,Komal,Walker,komalwalker@protonmail.com,Birmingham,England,GB,Organic Search,2025-09-28,no,10,1289.64
CUST-1044,Kavya,Agarwal,kavya.agarwal@yahoo.com,Edinburgh,Scotland,GB,Instagram Ads,2025-10-29,yes,8,2343.14
CUST-1045,Nitin,Nakamura,nitin_nakamura@gmail.com,Sydney,New South Wales,AU,Instagram Ads,2026-01-09,yes,2,343.49
CUST-1046,Ishita,Davis,ishita_davis@yahoo.com,Chennai,Tamil Nadu,IN,Organic Search,2026-01-31,no,2,104.85
CUST-1047,Pankaj,Chen,pankaj_chen@icloud.com,Singapore,Singapore,SG,Instagram Ads,2026-01-26,yes,1,279.64
CUST-1048,Maria,Sharma,mariasharma@icloud.com,Kochi,Kerala,IN,Email Campaign,2025-10-21,yes,3,631.02
CUST-1049,Peter,Reddy,peterreddy@outlook.com,Jaipur,Rajasthan,IN,Direct,2025-11-16,yes,9,1455.93
CUST-1050,Jake,Walker,jake_walker@hotmail.com,Kolkata,West Bengal,IN,Organic Search,2025-12-17,no,5,1514.67
CUST-1051,Kayla,Iyer,kaylaiyer@icloud.com,Atlanta,Georgia,US,Direct,2025-11-17,yes,8,1048.58
CUST-1052,Olivia,Young,oliviayoung@icloud.com,Gurgaon,Haryana,IN,Google Ads,2025-10-25,yes,5,492.56
CUST-1053,Tushar,Smith,tushar_smith@icloud.com,Ahmedabad,Gujarat,IN,Instagram Ads,2025-10-31,yes,3,809.52
CUST-1054,William,Taylor,william.taylor@gmail.com,Denver,Colorado,US,Referral,2025-09-19,yes,10,2110.74
CUST-1055,Shane,Berg,shane_berg@hotmail.com,Phoenix,Arizona,US,Email Campaign,2025-09-28,no,7,1461.15
CUST-1056,Henry,Iyer,henryiyer@icloud.com,Atlanta,Georgia,US,Instagram Ads,2025-10-02,no,3,1013.69
CUST-1057,Jake,Kulkarni,jakekulkarni@icloud.com,Philadelphia,Pennsylvania,US,TikTok Ads,2026-02-04,no,2,239.75
CUST-1058,Sunil,Wright,sunil.wright@protonmail.com,Calgary,Alberta,CA,Instagram Ads,2025-11-03,yes,3,1057.32
CUST-1059,Tina,Pandey,tinapandey@yahoo.com,San Diego,California,US,Email Campaign,2025-10-31,yes,5,651.67
CUST-1060,Komal,Chen,komalchen@gmail.com,Brooklyn,New York,US,Instagram Ads,2025-10-10,yes,3,982.7
CUST-1061,Rohit,Walker,rohit_walker@icloud.com,Los Angeles,California,US,Organic Search,2025-12-17,no,16,2879.4
CUST-1062,Sunita,Tiwari,sunita.tiwari@icloud.com,San Francisco,California,US,Facebook Ads,2025-11-16,no,5,723.11
CUST-1063,Shweta,Deshpande,shwetadeshpande@protonmail.com,Nashville,Tennessee,US,TikTok Ads,2026-01-03,yes,1,209.35
